	-	SENT_START 
Ціни	цінити	verb:impr:s:2:imperf 
	ціна	noun:f:v_rod noun:p:v_naz noun:p:v_zna 
на	на	excl part prep:rv_zna:rv_mis 
суші	суша	noun:f:v_dav noun:f:v_mis noun:f:v_rod noun:p:v_naz noun:p:v_zna 
нижчі	низький	adj:p:v_naz:compr adj:p:v_zna:compr 
ніж	ніж	conj:subord noun:m:v_naz noun:m:v_zna 
будь	бути	verb:impr:s:2:imperf 
де	де	adv:&pron:int:rel part 
...	-	- 
.	-	- 
i	-	- 
смачно	смачно	adv:compb 
,	-	- 
офіціанти	офіціант	noun:p:v_kly:anim noun:p:v_naz:anim 
привітні	привітний	adj:p:v_naz:compb adj:p:v_zna:compb 
.	-	SENT_END 

	-	SENT_START 
Окреме	окремий	adj:n:v_naz adj:n:v_zna 
дякую	дякувати	verb:pres:s:1:imperf 
офіціанту	офіціант	noun:m:v_dav:anim noun:m:v_mis:anim 
Володі	Володя	noun:m:v_dav:anim:fname noun:m:v_mis:anim:fname noun:m:v_rod:anim:fname
!	-	SENT_END 

	-	SENT_START 
Все	все	adv:v-u conj:coord:v-u part:v-u
	весь	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem
організовано	організовано	adv:compb
		організувати	verb:impers:perf 
та	та	conj:coord part 
швидко	швидко	adv:compb 
!	-	SENT_END PARA_END 

	-	SENT_START 
улюблений	улюблений	adjp:pasv:past:m:v_naz:compb adjp:pasv:past:m:v_zna:compb
заклад	заклад	noun:m:v_naz noun:m:v_zna 
із	із	prep:rv_rod:rv_zna:rv_oru 
сушами	суша	noun:p:v_oru 
а	а	conj:coord excl part 
коли	коли	adv:&pron:int:rel conj:subord part
	колоти	verb:impr:s:2:imperf
	кіл	noun:p:v_naz noun:p:v_zna 
пече	пекти	verb:pres:s:3:imperf 
сонечко	сонечко	noun:n:v_naz noun:n:v_naz:anim noun:n:v_zna noun:n:v_zna:anim 
можна	можна	predic 
втамувати	втамувати	verb:inf:perf:v-u 
спрагу	спрага	noun:f:v_zna 
шикарнющим	-	- 
мохіто	-	SENT_END PARA_END 

	-	SENT_START 
Що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
я	я	pron:pers:s:1:v_naz:anim
думаю	думати	verb:pres:s:1:imperf 
про	про	prep:rv_zna 
це	цей	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem 
місце	місце	noun:n:v_naz noun:n:v_zna 
?	-	SENT_END 

	-	SENT_START 
Явно	явно	adv 
чекала	чекати	verb:past:f:imperf 
більшого	великий	adj:m:v_rod:compr adj:m:v_zna:compr adj:n:v_rod:compr 
,	-	- 
зважаючи	зважати	advp:imperf 
на	на	excl part prep:rv_zna:rv_mis 
те	той	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem
,	-	- 
що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
це	цей	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem
заклад	заклад	noun:m:v_naz noun:m:v_zna 
мережі	мережа	noun:f:v_dav noun:f:v_mis noun:f:v_rod noun:p:v_naz noun:p:v_zna 
локаль	локаль	noun:f:v_naz noun:f:v_zna 
.	-	SENT_END 

	-	SENT_START 
На	на	prep:rv_zna:rv_mis 
офіціантів	офіціант	noun:p:v_rod:anim noun:p:v_zna:anim 
треба	треба	predic 
довго	довго	adv:compb 
чекати	чекати	verb:inf:imperf 
і	і	conj:coord part 
кликати	кликати	verb:inf:imperf 
,	-	- 
причому	причому	adv conj:subord 
,	-	- 
що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
зайняті	зайнятий	adjp:pasv:past:p:v_naz adjp:pasv:past:p:v_zna 
всього	весь	adj:m:v_rod:&pron:dem adj:m:v_zna:&pron:dem adj:n:v_rod:&pron:dem 
декілька	декілька	numr:p:v_naz:&pron:ind numr:p:v_zna:&pron:ind
столиків	столик	noun:p:v_rod 
,	-	- 
офіціанти	офіціант	noun:p:v_kly:anim noun:p:v_naz:anim 
не	не	part 
надають	надавати	verb:pres:p:3:imperf 
ніякої	ніякий	adj:f:v_rod:&pron:neg 
інформації	інформація noun:f:v_dav noun:f:v_mis noun:f:v_rod noun:p:v_naz noun:p:v_zna 
про	про	prep:rv_zna 
те	той	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem 
,	-	- 
що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
відносьться	-	- 
до	до	prep:rv_rod 
акцій	акція	noun:p:v_rod 
,	-	- 
а	а	conj:coord excl part 
що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
ні	ні	part 
,	-	- 
на	на	excl part prep:rv_zna:rv_mis 
страви	страва	noun:f:v_rod noun:p:v_naz noun:p:v_zna 
також	також	adv conj:coord 
чекати	чекати	verb:inf:imperf 
треба	треба	predic 
більше	багато	adv:compr
	великий	adj:n:v_naz:compr adj:n:v_zna:compr 
ніж	ніж	conj:subord noun:m:v_naz noun:m:v_zna 
півгодини	півгодини	noun:f:v_dav:nv:np noun:f:v_mis:nv:np noun:f:v_naz:nv:np noun:f:v_oru:nv:np noun:f:v_rod:nv:np noun:f:v_zna:nv:np 
...	-	SENT_END PARA_END 

	-	SENT_START 
Смачно	смачно	adv:compb 
,	-	- 
швидко	швидко	adv:compb 
,	-	- 
недорого	недорого	adv 
.	-	- 
.	-	SENT_END 

	-	SENT_START 
і	і	conj:coord part 
одразу	одразу	adv 
біля	біля	adv 
роботи	роботи	noun:unknown
	робот	noun:p:v_kly:anim noun:p:v_naz:anim 
	робота	noun:f:v_rod noun:p:v_naz noun:p:v_zna 
;	-	- 
-	-	- 
)	-	SENT_END PARA_END 

	-	SENT_START 
Роли	-	- 
класні	класний	adj:p:v_naz adj:p:v_zna 
,	-	- 
АЛЕ	але	conj:coord excl 
вперше	вперше	adv:v-u 
замовили	замовити	verb:past:p:perf 
рибний	рибний	adj:m:v_naz adj:m:v_zna 
суп	суп	noun:m:v_naz noun:m:v_zna 
з	з	prep:rv_rod:rv_zna:rv_oru 
морепродуктами	морепродукти	noun:p:v_oru 
,	-	- 
який	який	adj:m:v_naz:&pron:int:rel:def adj:m:v_zna:&pron:int:rel:def
дуже	дуже	adv
	дужий	adj:n:v_naz:compb adj:n:v_zna:compb 
розчаровує	розчаровувати	verb:pres:s:3:imperf 
!	-	- 
!	-	- 
!	-	- 
!	-	SENT_END 

	-	SENT_START 
Це	цей	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem 
був	бути	verb:past:m:imperf 
суцільний	суцільний	adj:m:v_naz adj:m:v_zna 
бульйон	бульйон	noun:m:v_naz noun:m:v_zna 
,	-	- 
а	а	conj:coord excl part 
обіцяні	обіцяний	adjp:pasv:past:p:v_naz adjp:pasv:past:p:v_zna 
морепродукти	морепродукти	noun:p:v_naz noun:p:v_zna 
-	-	- 
це	цей	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem 
3	3	number 
маленькі	маленький	adj:p:v_naz adj:p:v_zna 
шматочки	шматочок	noun:p:v_naz noun:p:v_zna 
чогось	щось	pron:ind:n:v_rod pron:ind:n:v_zna 
морського	морський	adj:m:v_rod adj:m:v_zna adj:n:v_rod 
в	в	prep:rv_zna:rv_mis:rv_rod:v-u 
клярі	-	- 
,	-	- 
але	але	conj:coord excl 
ДУЖЕ	дуже	adv 
	дужий	adj:n:v_naz:compb adj:n:v_zna:compb 
маленькі	маленький	adj:p:v_naz adj:p:v_zna 
,	-	- 
їх	вони	pron:pers:p:3:v_rod:anim pron:pers:p:3:v_zna:anim 
ледве	ледве	adv conj:subord part 
виловили	виловити	verb:past:p:perf 
...	-	SENT_END 

	-	SENT_START 
Що	що	conj:subord pron:int:rel:n:v_naz pron:int:rel:n:v_zna 
стосується	стосуватися	verb:rev:pres:s:3:imperf 
удону	-	- 
(	-	- 
макарони	макарони	noun:p:v_naz noun:p:v_zna 
)	-	- 
,	-	- 
теж	теж	adv part 
як	як	adv:&pron:int:rel conj:subord noun:m:v_naz:anim part 
на	на	prep:rv_zna:rv_mis 
ту	той	adj:f:v_zna:&pron:dem 
кількість	кількість	noun:f:v_naz noun:f:v_zna 
рідини	рідина	noun:f:v_rod noun:p:v_naz noun:p:v_zna 
,	-	- 
то	то	conj:subord 
