	-	SENT_START 
Ціни	ціна	noun:p:v_naz 
на	на	prep:rv_zna 
суші	суша	noun:f:v_dav noun:f:v_mis noun:f:v_rod noun:p:v_naz noun:p:v_zna	(noun:p:v_zna:nv) 
нижчі	низький	adj:p:v_naz:compr 
ніж	ніж	conj:subord  
будь	бути	verb:impr:s:2:imperf 
де	де	adv:&pron:int:rel part	(будь-де	будь-де	adv)  
...	-	- 
.	-	- 
i	-	-	(і	conj:coord) 
смачно	смачно	adv:compb 
,	-	- 
офіціанти	офіціант	noun:p:v_naz:anim 
привітні	привітний	adj:p:v_naz:compb 
.	-	SENT_END 

	-	SENT_START 
Окреме	окремий	adj:n:v_naz 
дякую	дякувати	verb:pres:s:1:imperf 
офіціанту	офіціант	noun:m:v_dav:anim 
Володі	Володя	noun:m:v_dav:anim:fname
!	-	SENT_END 

	-	SENT_START 
Все	весь	pron:dem:n:v_naz
організовано	організовано	adv:compb 
та	та	conj:coord 
швидко	швидко	adv:compb 
!	-	SENT_END 

	-	SENT_START 
улюблений	улюблений	adjp:pasv:past:m:v_naz:compb
заклад	заклад	noun:m:v_naz 
із	із	prep:rv_oru 
сушами	суша	noun:p:v_oru	(суші	noun:p:v_oru:nv)
а	а	part 
коли	коли	conj:subord
пече	пекти	verb:pres:s:3:imperf 
сонечко	сонечко	noun:n:v_naz 
можна	можна	predic 
втамувати	втамувати	verb:inf:perf:v-u 
спрагу	спрага	noun:f:v_zna 
шикарнющим	-	- 
мохіто	-	SENT_END 

	-	SENT_START 
Що	що	pron:int:rel:n:v_zna 
я	я	pron:pers:s:1:v_naz:anim
думаю	думати	verb:pres:s:1:imperf 
про	про	prep:rv_zna 
це	цей	pron:dem:n:v_zna 
місце	місце	noun:n:v_zna 
?	-	SENT_END 

	-	SENT_START 
Явно	явно	adv 
чекала	чекати	verb:past:f:imperf 
більшого	великий	adj:m:v_zna:compr 
,	-	- 
зважаючи	зважати	advp:imperf 
на	на	prep:rv_zna 
те	той	pron:dem:n:v_zna
,	-	- 
що	що	conj:subord 
це	цей	adj:n:v_naz:&pron:dem adj:n:v_zna:&pron:dem	(це	part)
заклад	заклад	noun:m:v_naz 
мережі	мережа	noun:f:v_rod  
локаль	локаль	noun:f:v_naz 
.	-	SENT_END

	-	SENT_START 
На	на	prep:rv_zna 
офіціантів	офіціант	noun:p:v_zna:anim 
треба	треба	predic 
довго	довго	adv:compb 
чекати	чекати	verb:inf:imperf 
і	і	conj:coord 
кликати	кликати	verb:inf:imperf 
,	-	- 
причому	причому	adv 
,	-	- 
що	що	conj:subord 
зайняті	зайнятий	adjp:pasv:past:p:v_naz 
всього	весь	adj:m:v_rod:&pron:dem adj:m:v_zna:&pron:dem adj:n:v_rod:&pron:dem	(всього	adv) 
декілька	декілька	numr:p:v_naz
столиків	столик	noun:p:v_rod 
,	-	- 
офіціанти	офіціант	noun:p:v_naz:anim 
не	не	part 
надають	надавати	verb:pres:p:3:imperf 
ніякої	ніякий	pron:neg:f:v_rod 
інформації	інформація	noun:f:v_rod  
про	про	prep:rv_zna 
те	той	pron:dem:n:v_zna 
,	-	- 
що	що	pron:int:rel:n:v_naz 
