-       SENT_START 
Дійсно	дійсно adv 
,	-        - 
за	за      prep:rv_rod:rv_zna:rv_oru 
кордом	корд    noun:m:v_oru 

політика	політика noun:f:v_na
закладу	заклад  noun:m:v_rod
	 
така	такий    adj:f:v_naz:&pron:def 
,	-        - 
що	що       conj:subord 
		 
харчування  харчування  noun:n:v_naz 
		 
у	у 		prep:rv_zna:rv_mis:rv_rod:v-u 
ньому	він 		pron:pers:m:3:v_mis:an		
	 
доступне    доступний   adj:n:v_naz:compb 
			 
всім	весь 		adj:p:v_dav:&pron:dem 
прошаркам  прошарок     noun:p:v_dav 
населення  населення  	noun:n:v_rod 
			
,	- 		- 
починаючи	починати   advp:imperf 
від	від 	prep:rv_rod 
школярів	школяр 	noun:p:v_rod:anim 
			 
та	та 	conj:coord 
	
студентів	студент noun:p:v_rod:anim 
			 
,	- 	- 
туристів	турист  noun:p:v_rod:anim 
			
та	та 	conj:coord 
		 
сімейних	сімейний  adj:p:v_rod 
			 
пар	 	пар	noun:p:v_rod
		 
з	з 	prep:rv_rod:rv_zna:rv_oru 
дітьми	діти    noun:p:v_oru:anim 
незалежно	незалежно adv 
від	від 	prep:rv_rod 
рівня	рівень   noun:m:v_rod 
доходу	доход   noun:m:v_rod 
.	- 	SENT_END 
	- 	SENT_START 
А	а 	conj:coord 
ось	ось 	part 
у	у	prep:rv_zna:rv_mis:rv_rod:v-u 
нас	ми 	pron:pers:p:1:v_mis:anim 
	
,	- 	- 
чомусь	чомусь  adv:&pron:ind 
 	 
,	- 	- 
ситуація	ситуація noun:f:v_naz 
абсолютно	абсолютно  adv 
протилежна	протилежний adj:f:v_naz 
,	- 	- 
для	для 	prep:rv_rod 
наших	наш 	adj:p:v_rod:&pron:pos 
		
дітей	діти 	noun:p:v_rod:anim 
		
та	та 	conj:coord 
	
дорослих   дорослий    noun:p:v_rod:anim 
			 
,	- 	- 
похід	похід 	noun:m:v_naz 
		 
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u 
