зробіть	зробити verb:impr:p:2:perf 
хороша	хороший adj:f:v_naz:compb 
називає	називати verb:pres:s:3:imperf 
подій	подія noun:p:v_rod 
натуральним	натуральний adj:m:v_oru:compb  
підводив	підводити verb:past:m:imperf 
запаху	запах noun:m:v_dav 
атмосфера	атмосфера noun:f:v_naz 
вибору	вибір noun:m:v_dav 
пиво	пиво noun:n:v_naz 
наразі	наразі adv 
напевно	напевно adv 
семи	сема  noun:f:v_rod 
страшно	страшно adv:compb 
олімпійському	олімпійський adj:m:v_dav 
лофту	- - 
грандіозно	грандіозно adv:compb 
передвиборчу	передвиборчий adj:f:v_zna 
офіційного	офіційний adj:m:v_rod 
підкачало	- - 
холдингом	холдинг noun:m:v_oru 
промисловим	промисловий adj:m:v_oru 
смак	смак noun:m:v_naz 
приміщення	приміщення noun:n:v_naz 
гроші	гроші гріш noun:p:v_naz 
обмані	обман noun:m:v_mis 
решта	решта noun:f:v_naz 
місць	місце noun:p:v_rod 
чекати	чекати verb:inf:imperf 
компанією	компанія noun:f:v_oru 
аля	- - 
гірка	гірка noun:f:v_naz 
фігня	фігня noun:f:v_naz 
площу	площа noun:f:v_zna 
шикарноо	- - 
виявляється	виявлятися verb:rev:pres:s:3:imperf
втрати	втрата noun:f:v_rod:v-u 
dottignies	- - 
меню	меню noun:n:v_dav:nv 
будь	бути verb:impr:s:2:imperf 
це	цей adj:n:v_naz:&pron:dem
процес	процес noun:m:v_naz 
куку	кука noun:f:v_zna 
суміш	суміш noun:f:v_naz 
спільнота	спільнота noun:f:v_naz 
змарнували	змарнувати verb:past:p:perf 
працюватиме	працювати verb:futr:s:3:imperf 
цікавого	цікавий adj:m:v_rod:compb 
пройшло	пройти verb:past:n:perf 
чудовий	чудовий adj:m:v_naz:compb 
робити	робити verb:inf:imperf 
мильним	мильний adj:m:v_oru 
інтр'єром	- - 
вище	вище adv:compr:compr 
обладнання	обладнання noun:n:v_naz 
пивна	пивний adj:f:v_naz 
андрій	- - 
варитимуть	варити verb:futr:p:3:imperf 
стадіоні	стадіон noun:m:v_mis 
файна	файний adj:f:v_naz 
зоні	зона noun:f:v_dav 
більшості	більшість noun:f:v_dav 
такої	такий adj:f:v_rod:&pron:def 
країн	країна noun:p:v_rod 
анна	- - 
шкандибає	шкандибати verb:pres:s:3:imperf 
варка	варка noun:f:v_naz
дизайн	дизайн noun:m:v_naz 
яловичий	яловичий adj:m:v_naz 
вистачає	вистачати verb:pres:s:3:imperf 
включенням	включення noun:n:v_oru:v-u 
три	три numr:p:v_naz
вині	вина noun:f:v_dav 
хмелем	хміль noun:m:v_oru 
хміль	хміль noun:m:v_naz 
світових	світовий adj:p:v_mis 
смачні	смачний adj:p:v_naz:compb 
zinnebir	- - 
часом	часом adv 
посадкових	посадковий adj:p:v_mis 
олена	- - 
чіпси	чіпси noun:p:v_naz  
пластмаса	пластмаса noun:f:v_naz 
фахівців	фахівець noun:p:v_rod:anim
зарано	зарано adv 
потратив	потратити verb:past:m:perf 
власна	власний adj:f:v_naz 
анонсований	анонсований adjp:pasv:past:m:v_naz
доброго	добрий adj:m:v_rod:compb 
виробницта	- - 
дороге	дорогий adj:n:v_naz:compb 
бачила	бачити verb:past:f:imperf 
охочі	охочий adj:p:v_naz 
солі	сіль noun:f:v_dav 
нема	нема predic 
відкритися	відкритися verb:rev:inf:perf 
круто	круто adv 
ніякі	ніякий adj:p:v_naz:&pron:neg 
